epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3291.64,1.40237,1.39738,1.22923,0.43144,0.51937,0.46022,0.38659,1.51633,1.94729,1.27827,0.000199962,0.000199962,0.0802037
2,11096.8,1.32246,1.2373,1.19811,0.28438,0.53233,0.45138,0.38482,1.38968,1.69939,1.24157,0.000399171,0.000399171,0.0604029
3,13986,1.28247,1.15767,1.18163,0.45767,0.49589,0.49567,0.43428,1.35939,2.22536,1.23464,0.000597587,0.000597587,0.0406013
4,20692.5,1.25078,1.09633,1.16493,0.4867,0.53905,0.51328,0.45852,1.33471,1.61354,1.22293,0.000795211,0.000795211,0.020799
5,30957,1.21734,1.04073,1.14702,0.73009,0.54227,0.59407,0.5389,1.32186,1.62947,1.21231,0.000992043,0.000992043,0.000995794
6,33530.6,1.19108,0.99966,1.13199,0.53834,0.54066,0.55678,0.50291,1.31363,1.74558,1.22978,0.0009901,0.0009901,0.0009901
7,43730,1.16581,0.96025,1.1182,0.75917,0.53042,0.59586,0.54848,1.30227,1.93362,1.20412,0.00098812,0.00098812,0.00098812
8,47590,1.14762,0.93497,1.1083,0.74429,0.52247,0.56405,0.52713,1.29934,1.85909,1.20852,0.00098614,0.00098614,0.00098614
