epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,225.513,0.2951,0.76021,0.82021,0.62549,0.45625,0.52922,0.51087,0.30427,2.47593,0.85902,0.0007294,0.0007294,0.0007294
43,230.74,0.32296,0.78355,0.82678,0.44038,0.48653,0.51524,0.50215,0.29122,2.55754,0.85215,0.0007228,0.0007228,0.0007228
44,236.214,0.31064,0.76635,0.84061,0.39474,0.56005,0.49902,0.49264,0.24688,2.5641,0.84303,0.0007162,0.0007162,0.0007162
45,241.388,0.29191,0.73478,0.81187,0.45376,0.52891,0.51893,0.50054,0.27985,2.59181,0.85865,0.0007096,0.0007096,0.0007096
46,246.562,0.29807,0.71719,0.8252,0.38928,0.53436,0.49871,0.48272,0.3121,2.59144,0.86907,0.000703,0.000703,0.000703
47,251.659,0.28912,0.70741,0.81312,0.39222,0.56208,0.5208,0.50633,0.29553,2.56022,0.86624,0.0006964,0.0006964,0.0006964
48,256.714,0.29161,0.74913,0.8239,0.55008,0.52707,0.55087,0.53642,0.26133,2.55455,0.84983,0.0006898,0.0006898,0.0006898
49,261.809,0.31024,0.74485,0.81558,0.55014,0.53633,0.54311,0.52285,0.26259,2.56089,0.85593,0.0006832,0.0006832,0.0006832
50,266.822,0.28342,0.75609,0.82068,0.41608,0.53578,0.53662,0.51828,0.3006,2.62558,0.85957,0.0006766,0.0006766,0.0006766
51,271.797,0.28781,0.71217,0.82859,0.67557,0.45205,0.50876,0.49728,0.29855,2.69071,0.85633,0.00067,0.00067,0.00067
52,277.113,0.28357,0.72897,0.82826,0.55904,0.52188,0.51354,0.49764,0.28241,2.61238,0.84907,0.0006634,0.0006634,0.0006634
53,282.319,0.29131,0.656,0.80873,0.51221,0.52221,0.50646,0.49841,0.25414,2.55224,0.83875,0.0006568,0.0006568,0.0006568
54,286.987,0.28477,0.65392,0.82725,0.37297,0.5965,0.52797,0.51732,0.24579,2.63121,0.839,0.0006502,0.0006502,0.0006502
55,291.474,0.2843,0.73848,0.81331,0.69748,0.47239,0.5233,0.51462,0.23227,2.60199,0.83539,0.0006436,0.0006436,0.0006436
56,296.245,0.27701,0.68627,0.82663,0.81114,0.47866,0.54613,0.5385,0.23438,2.50324,0.83067,0.000637,0.000637,0.000637
57,301.295,0.28539,0.6868,0.82214,0.58627,0.51453,0.54871,0.54118,0.23367,2.53341,0.82906,0.0006304,0.0006304,0.0006304
58,306.285,0.26203,0.69968,0.80521,0.51831,0.49858,0.54728,0.53196,0.27769,2.67431,0.84669,0.0006238,0.0006238,0.0006238
59,311.242,0.28232,0.66405,0.8224,0.65179,0.5162,0.5502,0.5363,0.27705,2.74809,0.84058,0.0006172,0.0006172,0.0006172
60,316.287,0.28674,0.65267,0.81044,0.64124,0.53536,0.54278,0.52974,0.23429,2.65355,0.82314,0.0006106,0.0006106,0.0006106
61,321.29,0.27717,0.63694,0.81152,0.71712,0.49943,0.51697,0.50325,0.24781,2.66387,0.83128,0.000604,0.000604,0.000604
62,326.387,0.28516,0.66537,0.80954,0.3855,0.56936,0.50633,0.49267,0.27162,2.72666,0.84408,0.0005974,0.0005974,0.0005974
63,331.427,0.28268,0.66289,0.81786,0.45633,0.56617,0.50013,0.49392,0.25591,2.6945,0.83514,0.0005908,0.0005908,0.0005908
64,336.435,0.27581,0.68415,0.81689,0.69528,0.49412,0.52456,0.51892,0.22504,2.68699,0.82513,0.0005842,0.0005842,0.0005842
65,341.425,0.28652,0.67653,0.81484,0.7125,0.51074,0.52835,0.52294,0.24087,2.74363,0.8307,0.0005776,0.0005776,0.0005776
66,346.535,0.2758,0.68606,0.80976,0.49296,0.51625,0.50401,0.496,0.24837,2.81433,0.84087,0.000571,0.000571,0.000571
67,352.18,0.26049,0.62393,0.80841,0.72248,0.45906,0.49272,0.48582,0.24104,2.71435,0.83608,0.0005644,0.0005644,0.0005644
68,357.827,0.26173,0.63491,0.82529,0.67329,0.48056,0.4873,0.48096,0.22018,2.66394,0.82769,0.0005578,0.0005578,0.0005578
69,361.901,0.27108,0.62282,0.80783,0.74024,0.48455,0.49507,0.48437,0.26688,2.6552,0.83789,0.0005512,0.0005512,0.0005512
70,367.108,0.26785,0.61636,0.82006,0.7538,0.52901,0.53885,0.52939,0.26691,2.568,0.84115,0.0005446,0.0005446,0.0005446
