frame_idx,vehicle_count,density_veh_per_100m,congestion_severity,avg_confidence,queue_estimate
198,4,4.0,none,0.897,4
199,4,4.0,none,0.87,4
200,4,4.0,none,0.832,4
201,4,4.0,none,0.875,4
202,4,4.0,none,0.888,4
203,4,4.0,none,0.885,4
204,4,4.0,none,0.859,4
205,4,4.0,none,0.872,4
206,4,4.0,none,0.873,4
207,4,4.0,none,0.846,4
208,4,4.0,none,0.802,4
209,4,4.0,none,0.844,4
210,4,4.0,none,0.855,4
211,3,3.0,none,0.81,3
212,3,3.0,none,0.783,3
213,6,6.0,low,0.826,6
214,6,6.0,low,0.83,6
215,6,6.0,low,0.793,6
216,6,6.0,low,0.791,6
217,6,6.0,low,0.843,6
218,6,6.0,low,0.856,6
219,6,6.0,low,0.861,6
220,6,6.0,low,0.83,6
221,6,6.0,low,0.831,6
222,6,6.0,low,0.83,6
223,6,6.0,low,0.804,6
224,6,6.0,low,0.78,6
225,6,6.0,low,0.828,6
226,6,6.0,low,0.848,6
227,6,6.0,low,0.849,6
228,6,6.0,low,0.817,6
229,6,6.0,low,0.828,6
230,6,6.0,low,0.828,6
231,6,6.0,low,0.798,6
232,6,6.0,low,0.774,6
233,6,6.0,low,0.824,6
234,6,6.0,low,0.844,6
235,6,6.0,low,0.848,6
236,6,6.0,low,0.822,6
237,6,6.0,low,0.834,6
238,6,6.0,low,0.836,6
239,6,6.0,low,0.809,6
240,6,6.0,low,0.786,6
241,6,6.0,low,0.83,6
242,6,6.0,low,0.848,6
243,6,6.0,low,0.844,6
244,6,6.0,low,0.817,6
245,6,6.0,low,0.823,6
246,6,6.0,low,0.826,6
247,6,6.0,low,0.802,6
248,6,6.0,low,0.777,6
249,6,6.0,low,0.817,6
250,6,6.0,low,0.827,6
251,6,6.0,low,0.815,6
252,6,6.0,low,0.781,6
253,6,6.0,low,0.817,6
254,6,6.0,low,0.824,6
255,6,6.0,low,0.796,6
256,6,6.0,low,0.78,6
257,6,6.0,low,0.849,6
258,6,6.0,low,0.856,6
259,6,6.0,low,0.862,6
260,6,6.0,low,0.825,6
261,6,6.0,low,0.831,6
262,6,6.0,low,0.828,6
263,6,6.0,low,0.802,6
264,6,6.0,low,0.776,6
265,6,6.0,low,0.836,6
266,6,6.0,low,0.849,6
267,6,6.0,low,0.862,6
268,6,6.0,low,0.842,6
269,6,6.0,low,0.819,6
270,6,6.0,low,0.803,6
271,4,4.0,none,0.834,4
272,4,4.0,none,0.796,4
273,5,5.0,none,0.885,5
274,5,5.0,none,0.905,5
275,5,5.0,none,0.904,5
276,5,5.0,none,0.894,5
277,5,5.0,none,0.903,5
278,5,5.0,none,0.905,5
279,5,5.0,none,0.876,5
280,5,5.0,none,0.849,5
281,5,5.0,none,0.882,5
282,5,5.0,none,0.894,5
283,5,5.0,none,0.891,5
284,5,5.0,none,0.874,5
285,5,5.0,none,0.885,5
286,5,5.0,none,0.892,5
287,5,5.0,none,0.862,5
288,5,5.0,none,0.827,5
289,5,5.0,none,0.871,5
290,5,5.0,none,0.88,5
